timestamp,job,model,tokens_in,tokens_out,searches,cost_usd,ok
2026-07-27T21:38:52+00:00,wire,claude-haiku-4-5-20251001,27383,849,2,0.05163,1
2026-07-28T09:30:02+00:00,wire,claude-haiku-4-5-20251001,16358,986,2,0.04129,1
2026-07-28T19:02:33+00:00,wire,claude-haiku-4-5-20251001,17436,516,2,0.04002,1
2026-07-28T19:02:44+00:00,wire,claude-haiku-4-5-20251001,16201,548,2,0.03894,1
2026-07-28T19:03:01+00:00,wire,claude-haiku-4-5-20251001,15730,690,2,0.03918,1
2026-07-29T09:31:46+00:00,wire,claude-haiku-4-5-20251001,17176,864,2,0.04150,1
2026-07-29T18:50:14+00:00,wire,claude-haiku-4-5-20251001,17025,904,2,0.04154,1
2026-07-30T09:24:16+00:00,wire,claude-haiku-4-5-20251001,17604,539,2,0.04030,1
2026-07-30T09:24:35+00:00,wire,claude-haiku-4-5-20251001,28695,1124,2,0.05432,1
2026-07-30T19:06:04+00:00,wire,claude-haiku-4-5-20251001,26923,1059,2,0.05222,1
2026-07-31T09:36:01+00:00,wire,claude-haiku-4-5-20251001,16724,518,2,0.03931,1
2026-07-31T09:36:14+00:00,wire,claude-haiku-4-5-20251001,16974,782,2,0.04088,1
2026-07-31T19:03:42+00:00,wire,claude-haiku-4-5-20251001,15648,1028,2,0.04079,1
2026-08-01T08:59:22+00:00,wire,claude-haiku-4-5-20251001,18212,949,2,0.04296,1
2026-08-01T18:49:12+00:00,wire,claude-haiku-4-5-20251001,17416,611,2,0.04047,1
2026-08-01T18:49:25+00:00,wire,claude-haiku-4-5-20251001,17302,895,2,0.04178,1
2026-08-02T09:04:07+00:00,wire,claude-haiku-4-5-20251001,15463,552,2,0.03822,1
2026-08-02T09:04:26+00:00,wire,claude-haiku-4-5-20251001,26412,1514,2,0.05398,1
2026-08-02T18:49:37+00:00,wire,claude-haiku-4-5-20251001,15221,744,2,0.03894,1
2026-08-03T10:31:02+00:00,wire,claude-haiku-4-5-20251001,16980,667,2,0.04032,1
2026-08-03T10:31:14+00:00,wire,claude-haiku-4-5-20251001,15501,527,2,0.03814,1
2026-08-03T10:31:33+00:00,wire,claude-haiku-4-5-20251001,15389,1173,2,0.04125,1
2026-08-03T19:14:54+00:00,wire,claude-haiku-4-5-20251001,15794,744,2,0.03951,1
2026-08-04T09:32:05+00:00,wire,claude-haiku-4-5-20251001,16282,547,2,0.03902,1
2026-08-04T09:32:19+00:00,wire,claude-haiku-4-5-20251001,28600,489,2,0.05105,1
2026-08-04T09:32:37+00:00,wire,claude-haiku-4-5-20251001,16298,702,2,0.03981,1
2026-08-04T19:15:52+00:00,wire,claude-haiku-4-5-20251001,24338,789,2,0.04828,1
2026-08-06T23:46:39+00:00,wire,claude-haiku-4-5-20251001,16368,483,2,0.03878,1
2026-08-06T23:46:54+00:00,wire,claude-haiku-4-5-20251001,26157,947,2,0.05089,1
2026-08-08T07:38:48+00:00,wire,claude-haiku-4-5-20251001,15850,1093,2,0.04132,1
2026-08-09T07:42:59+00:00,wire,claude-haiku-4-5-20251001,14279,656,2,0.03756,1
2026-08-09T18:21:20+00:00,wire,claude-haiku-4-5-20251001,22828,803,2,0.04684,1
